,Dessalinitzacio
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.36
680,0.42
681,0.33
682,0.17
683,0.14
684,0.14
685,0.14
686,0.13
687,0.14
688,0.14
689,0.14
690,0.14
691,0.15
692,0.14
693,0.14
694,0.14
695,0.14
696,0.13
697,0.13
698,0.13
699,0.13
700,0.13
701,0.08
702,0.06
703,0.16999999999999998
704,0.22
705,0.13
706,0.13
707,0.13
708,0.15
709,0.01
710,0.01
711,0.01
712,0.01
713,0.01
714,0.01
715,0.02
716,0.02
717,0.01
718,0.05
719,0.05
720,0.05
721,0.06
722,0.05
723,0.03
724,0.0
725,0.09
726,0.37
727,0.48
728,0.49
729,0.3
730,0.22
731,0.09
732,0.05
733,0.04
734,0.03
735,0.06
736,0.09
737,0.01
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.03
748,0.12
749,0.12
750,0.14
751,0.14
752,0.14
753,0.06
754,0.0
755,0.0
756,0.12
757,0.07
758,0.02
759,0.07
760,0.03
761,0.03
762,0.05
763,0.060000000000000005
764,0.05
765,0.05
766,0.05
767,0.0
768,0.25
769,0.0
770,0.01
771,0.02
772,0.01
773,0.01
774,0.01
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.01
797,0.11
798,0.14
799,0.13
800,0.11
801,0.14
802,0.13
803,0.04
804,0.06
805,0.04
806,0.03
807,0.03
808,0.02
809,0.03
810,0.03
811,0.03
812,0.22
813,0.06
814,0.02
815,0.09
816,0.14
817,0.14
818,0.23
819,0.28
820,0.24
821,0.27
822,0.27
823,0.1
824,0.38
825,0.42
826,0.42
827,0.2
828,0.16
829,0.14
830,0.4
831,0.62
832,0.419327379
833,0.416932064
834,0.140518278
835,0.12981
836,0.34968699999999997
837,0.364005636
838,0.3694578399999999
839,0.397089625
840,0.4763429999999999
841,0.6328099999999999
842,0.64265
843,0.68
844,0.61647
845,0.5134289999999996
846,0.5155019999999999
847,0.450774
848,0.378096
849,0.5115779999999999
850,0.5533319999999999
851,0.418634
852,0.391308
853,0.175151
854,0.367041
855,0.312061
856,0.175661
857,0.151924
858,0.139399
859,0.138194
860,0.1375919999999999
861,0.124594
862,0.16730499999999998
863,0.166162
864,0.384526
865,0.414531
866,0.5306799999999998
867,0.5608069999999998
868,0.5599659999999997
869,0.5448299999999999
870,0.544897
871,0.399787
872,0.558653
873,0.406373
874,0.11316
875,0.48319499999999993
876,0.5386719999999999
877,0.5216989999999999
878,0.524979
879,0.5183399999999999
880,0.523067
881,0.222277
882,0.5005919999999998
883,0.5188969999999999
884,0.5184819999999999
885,0.4907189999999999
886,0.5056559999999999
887,0.285908
888,0.352945
889,0.3961099999999999
890,0.3896789999999999
891,0.365476
892,0.4781499999999999
893,0.5515839999999999
894,0.3872569999999999
895,0.417808
896,0.5068679999999999
897,0.5331029999999998
898,0.2890979999999999
899,0.094263
900,0.198599
901,0.153063
902,0.152695
903,0.14192399999999988
904,0.1115379999999999
905,0.119401
906,0.182436
907,0.1526859999999998
908,0.124634
909,0.150439
910,0.158097
911,0.132502
912,0.139597
913,0.161965
914,0.163982
915,0.4849139999999999
916,0.648525
917,0.2536619999999998
918,0.26259899999999997
919,0.27198100000000003
920,0.274511
921,0.2518319999999999
922,0.3030099999999999
923,0.389358
924,0.393486
925,0.5001579999999999
926,0.4236569999999999
927,0.503327
928,0.523537
929,0.4701389999999999
930,0.532747
931,0.500996
932,0.711185
933,0.86078
934,1.0968499999999999
935,0.8349329999999999
936,1.2832769999999998
937,1.2955489999999998
938,1.306706
939,1.296046
940,1.2604659999999999
941,1.292665
942,1.3568429999999998
943,1.3355759999999999
944,1.3511559999999998
945,1.2832379999999999
946,1.279758
947,1.031812
948,1.2887629999999999
949,1.232956
950,0.400686
951,0.384654
952,0.352266
953,0.21300999999999998
954,0.20205
955,0.208162
956,0.110183
957,0.250779
958,0.252097
959,0.2837759999999999
960,0.2390349999999999
961,0.260998
962,0.352906
963,0.227522
964,0.39230299999999985
965,0.37521099999999996
966,0.3264149999999999
967,0.3516479999999998
968,0.361527
969,0.3293279999999998
970,0.341885
971,0.43155
972,0.3660349999999999
973,0.252222
974,0.46965199999999996
975,0.46493
976,0.47774899999999987
977,0.4722
978,0.4009979999999998
979,0.477634
980,0.463371
981,0.4324929999999999
982,0.393669
983,0.3784369999999999
984,0.3945719999999998
985,0.3244569999999997
986,0.37905199999999983
987,0.195464
988,0.2243819999999997
989,0.3315639999999998
990,0.3438379999999998
991,0.2551559999999999
992,0.2441329999999998
993,0.3348009999999998
994,0.33932699999999993
995,0.26456999999999997
996,0.2657199999999999
997,0.3363139999999999
998,0.3362769999999999
999,0.16947099999999998
1000,0.214307
1001,0.3097399999999999
1002,0.31240499999999993
1003,0.3387779999999998
1004,0.3818269999999998
1005,0.45783
1006,0.41158300000000003
1007,0.375357
1008,0.3585699999999999
1009,0.378617
1010,0.382203
1011,0.3537309999999998
1012,0.23182099999999992
1013,0.30947999999999987
1014,0.2465739999999998
1015,0.2751799999999999
1016,0.3613319999999999
1017,0.492686
1018,0.324617
1019,0.2652979999999999
1020,0.5001719999999998
1021,0.47429699999999975
1022,0.4778199999999999
1023,0.46353
1024,0.4750559999999999
1025,0.476445
1026,0.4810999999999999
1027,0.453913
1028,0.7101109999999999
1029,0.7623369999999999
1030,0.9931869999999999
1031,1.229163
1032,1.298949
1033,1.093038
1034,1.2578619999999998
1035,1.1311879999999999
1036,1.0548799999999998
1037,1.104634
1038,0.9818759999999999
1039,0.3834199999999998
1040,0.7614089999999999
1041,0.5914979999999999
1042,0.7339229999999999
1043,0.823133
1044,0.551671
1045,0.46247499999999997
1046,0.4076629999999998
1047,0.772416
1048,0.32663
1049,0.462024
1050,0.329456
1051,0.850162
1052,0.530732
1053,0.27789200000000003
1054,0.278062
1055,0.38846200000000003
1056,0.27905599999999997
1057,0.27579
1058,0.27522599999999997
1059,0.287612
1060,0.620208
1061,0.28588199999999997
1062,0.884914
1063,0.669744
1064,0.310434
1065,0.381988
1066,0.63249
1067,0.727472
1068,0.923832
1069,0.599112
1070,0.39668400000000004
1071,0.5233990000000001
1072,0.6701799999999999
1073,0.322304
1074,0.43235
1075,0.38390099999999994
1076,0.4361859999999999
1077,0.43660099999999996
1078,0.42267599999999994
1079,0.546338
1080,0.2420359999999999
1081,0.111311
1082,0.154922
1083,0.195736
1084,0.289679
1085,0.151405
1086,0.101335
1087,0.17763400000000001
1088,0.27004099999999986
1089,0.329441
1090,0.35225
1091,0.232606
1092,0.17707299999999981
1093,0.247612
1094,0.2572239999999999
1095,0.2319319999999999
1096,0.29858799999999996
1097,0.342542
1098,0.379532
1099,0.4610519999999998
1100,0.3318319999999998
1101,0.2738789999999999
1102,0.3778499999999998
1103,0.280451
1104,0.15283
1105,0.2010309999999999
1106,0.2360969999999999
1107,0.23548699999999978
1108,0.274698
1109,0.238948
1110,0.2317479999999998
1111,0.103755
1112,0.13031500000000001
1113,0.1981449999999999
1114,0.2602619999999999
1115,0.2543539999999998
1116,0.2453189999999999
1117,0.240906
1118,0.2293849999999999
1119,0.3465239999999997
1120,0.309437
1121,0.5126809999999998
1122,0.26674200000000003
1123,0.3088889999999997
1124,0.429804
1125,0.4207059999999998
1126,0.41305800000000004
1127,0.3245209999999997
1128,0.2889859999999999
1129,0.25038099999999996
1130,0.247044
1131,0.34393799999999997
1132,0.4223929999999998
1133,0.5977869999999998
1134,0.5088969999999999
1135,0.39373099999999983
1136,0.3970349999999999
1137,0.386235
1138,0.4008079999999997
1139,0.7032829999999997
1140,0.3947589999999998
1141,0.41856
1142,0.110608
1143,0.180399
1144,0.5759669999999999
1145,0.473232
1146,0.46056699999999984
1147,0.4755879999999998
1148,0.46873
1149,0.4584709999999998
1150,0.518222
1151,0.7953869999999997
1152,1.180872
1153,1.265928
1154,1.276675
1155,1.2814269999999999
1156,1.2651669999999997
1157,0.8975399999999999
1158,0.98522
1159,0.9927189999999999
1160,1.225364
1161,1.2727259999999998
1162,1.232103
1163,1.2288769999999998
1164,1.233444
1165,1.2810689999999998
1166,1.154791
1167,1.238322
1168,1.1139119999999998
1169,1.271252
1170,1.2260159999999998
1171,1.231525
1172,1.2266959999999998
1173,1.226518
1174,1.267624
1175,1.233385
1176,1.27833
1177,1.273062
1178,1.251694
1179,1.272417
1180,1.3623119999999997
1181,1.372996
1182,1.403598
1183,1.375322
1184,1.416874
1185,1.372998
1186,1.381624
1187,1.401767
1188,1.335985
1189,1.536857
1190,1.5255059999999998
1191,1.405779
1192,1.496927
1193,1.3222079999999998
1194,0.29813
1195,0.498464
1196,1.4000679999999999
1197,1.4315259999999999
1198,1.36997
1199,1.45862
1200,1.427627
1201,1.467085
1202,1.39946
1203,1.4311989999999999
1204,1.3837329999999999
1205,1.4605739999999998
1206,1.1937259999999998
1207,1.4786549999999998
1208,1.488586
1209,1.1624539999999999
1210,1.310635
1211,1.325664
1212,1.43167
1213,1.500815
1214,1.5798969999999999
1215,1.580272
1216,1.544984
1217,1.5833279999999998
1218,1.598415
1219,1.540361
1220,1.6108559999999998
1221,1.6336469999999998
1222,1.4553759999999998
1223,1.4980009999999997
1224,1.57679
1225,1.628515
1226,1.6223
1227,1.5889579999999999
1228,1.517618
1229,1.58451
1230,1.590192
1231,1.6168179999999999
1232,1.582204
1233,1.577367
1234,1.1907159999999999
1235,1.5707999999999998
1236,1.5893589999999997
1237,1.544173
1238,1.602336
1239,1.6158
1240,1.492711
1241,1.455749
1242,1.3965939999999997
1243,1.537246
1244,1.556613
1245,1.3711399999999998
1246,1.4283799999999998
1247,0.387278
1248,0.371551
1249,1.141384
1250,1.4078829999999998
1251,1.5010929999999998
1252,1.5136309999999997
1253,1.5993399999999998
1254,1.542215
1255,1.542386
1256,1.572548
1257,1.5261689999999999
1258,1.5500099999999999
1259,1.453142
1260,1.4898069999999999
1261,1.1947249999999998
1262,1.285326
1263,1.567844
1264,1.5212459999999999
1265,1.5220509999999998
1266,1.2074209999999999
1267,1.516867
1268,1.60547
1269,1.343347
1270,1.516523
1271,1.550023
1272,1.537492
1273,1.54409
1274,1.434491
1275,1.502846
1276,1.398326
1277,1.4099869999999999
1278,1.455763
1279,1.535224
1280,1.408512
1281,1.392336
1282,1.554844
1283,1.5371799999999998
1284,1.4982429999999998
1285,1.533612
1286,1.487899
1287,1.4948029999999999
1288,1.457844
1289,1.489517
1290,1.5062469999999997
1291,0.904603
1292,1.110291
1293,1.2192699999999996
1294,1.251406
1295,1.3502459999999998
1296,1.3617449999999998
1297,1.288563
1298,1.062902
1299,0.280225
1300,0.292388
1301,0.296511
1302,0.307006
1303,1.0823519999999998
1304,1.257179
1305,1.299163
1306,1.3854299999999997
1307,1.435001
1308,1.438377
1309,1.4685439999999998
1310,1.4270399999999999
1311,1.447046
1312,1.4523089999999999
1313,1.165341
1314,1.130928
1315,1.370833
1316,1.4659099999999996
1317,1.4626439999999998
1318,1.420655
1319,1.3207929999999999
1320,0.8914779999999999
1321,1.059618
1322,0.85762
1323,0.368177
1324,0.294785
1325,0.500976
1326,1.088676
1327,1.274957
1328,1.5064529999999998
1329,1.371316
1330,1.433107
1331,0.904423
1332,1.3527579999999997
1333,1.4226869999999998
1334,1.392537
1335,1.4605309999999998
1336,1.415031
1337,1.210378
1338,1.258598
1339,1.306738
1340,1.223992
1341,1.284892
1342,1.3044699999999998
1343,1.320873
